,Unnamed: 0,INT_DATE,STRATUM,COUNTRY,ID,AGE,RESPSEX,RESEMPL,RESPPOB,RESPMAR,TRUCRTS,TRUPARL,TRUEXEC,TRUPRES,hour,NO2,SO2,PM2.5,PM10,O3,CO,SO2_Daily,PM2.5_Daily,PM10_Daily,O3_Daily,CO_Daily,PC1
55,55,2017-09-24,1,3,1709001001,75,2,0,4,8,2,3,3,4,12,25.5,19.666666666666668,18.666666666666668,72.0,40.565,0.43,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.6968040686751454
56,56,2017-09-24,1,3,1106078005,60,1,1,3,2,2,2,2,2,12,25.5,19.666666666666668,18.666666666666668,72.0,40.565,0.43,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-1.0256939985626672
57,57,2017-09-24,1,3,2110059014,27,2,0,2,3,1,2,2,2,12,25.5,19.666666666666668,18.666666666666668,72.0,40.565,0.43,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-1.4871771967225837
58,58,2017-09-24,1,3,1006106016,37,1,0,1,4,4,1,2,4,12,25.5,19.666666666666668,18.666666666666668,72.0,40.565,0.43,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.01722303047304402
59,59,2017-09-24,1,3,403042001,52,1,0,2,6,3,3,3,3,13,36.5,20.33333333333333,17.0,67.33333333333333,46.565,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.8307959164635839
60,60,2017-09-24,1,3,1106078006,54,2,1,1,2,2,2,2,2,13,36.5,20.33333333333333,17.0,67.33333333333333,46.565,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-1.0256939985626672
61,61,2017-09-24,1,3,2110039014,24,1,0,3,1,1,1,1,1,13,36.5,20.33333333333333,17.0,67.33333333333333,46.565,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-2.882183913588918
62,62,2017-09-24,1,3,2110059015,21,1,1,1,1,2,2,3,3,13,36.5,20.33333333333333,17.0,67.33333333333333,46.565,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-0.16571934972341207
63,63,2017-09-24,1,3,1306062012,35,1,1,3,4,3,1,3,3,13,36.5,20.33333333333333,17.0,67.33333333333333,46.565,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-0.2392682195905745
64,64,2017-09-24,1,3,2110065008,84,2,0,2,8,1,1,1,2,13,36.5,20.33333333333333,17.0,67.33333333333333,46.565,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-2.55469256321744
65,65,2017-09-24,1,3,1306067003,62,2,0,3,8,2,2,2,2,13,36.5,20.33333333333333,17.0,67.33333333333333,46.565,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-1.0256939985626672
66,66,2017-09-24,1,3,403042003,52,2,0,1,6,1,1,1,4,13,36.5,20.33333333333333,17.0,67.33333333333333,46.565,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-1.8997098624744833
67,67,2017-09-24,1,3,2010023014,47,2,1,2,1,3,3,3,3,14,32.0,20.666666666666668,21.0,70.66666666666667,51.69,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.8307959164635839
68,68,2017-09-24,1,3,2110059016,61,1,0,2,6,3,2,3,3,14,32.0,20.666666666666668,21.0,70.66666666666667,51.69,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.29576384843650455
69,69,2017-09-24,1,3,2110039017,43,2,0,3,4,1,2,3,3,14,32.0,20.666666666666668,21.0,70.66666666666667,51.69,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-0.627202547883329
70,70,2017-09-24,1,3,1206049001,30,2,1,3,4,3,3,3,4,14,32.0,20.666666666666668,21.0,70.66666666666667,51.69,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,1.1582872668350621
71,71,2017-09-24,1,3,1709001006,53,2,0,3,8,-1,2,2,4,14,32.0,20.666666666666668,21.0,70.66666666666667,51.69,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,
72,72,2017-09-24,1,3,1106078009,21,2,0,1,1,3,3,3,2,14,32.0,20.666666666666668,21.0,70.66666666666667,51.69,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.5033045660921055
73,73,2017-09-24,1,3,2110059017,55,2,1,2,1,3,3,2,3,14,32.0,20.666666666666668,21.0,70.66666666666667,51.69,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.2983126179958071
74,74,2017-09-24,1,3,1909066015,31,2,0,3,4,4,4,4,3,14,32.0,20.666666666666668,21.0,70.66666666666667,51.69,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,2.359794481118356
75,75,2017-09-24,1,3,1809039005,41,2,0,3,4,3,1,3,3,14,32.0,20.666666666666668,21.0,70.66666666666667,51.69,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-0.2392682195905745
76,76,2017-09-24,1,3,403042009,54,1,1,1,2,5,5,5,5,14,32.0,20.666666666666668,21.0,70.66666666666667,51.69,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,4.543775746516086
77,77,2017-09-24,1,3,1006106022,31,2,0,3,4,3,3,3,3,14,32.0,20.666666666666668,21.0,70.66666666666667,51.69,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.8307959164635839
78,78,2017-09-24,1,3,2010023015,29,2,1,2,7,2,2,2,2,14,32.0,20.666666666666668,21.0,70.66666666666667,51.69,0.4266666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-1.0256939985626672
79,79,2017-09-24,1,3,1306062015,30,1,1,1,4,4,4,4,4,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,2.6872858314898345
