,INT_DATE,INT_START,SUBSTRATUM,STRATUM,COUNTRY,ID,RESPAGE,RESPSEX,RESPEMP,RESPPOB,RESPMAR,TRUCRTS,TRUPARL,TRUEXEC,TRUPRES,TRUHLTH,TRUNGOS,TRUMEDI,TRULOCG,TRURELI,TRUOMB,TRUSTEU,TRUSTUN,Region_Code,NO<sub>2,SO<sub>2,PM2.5,PM10,O<sub>3,CO,NO<sub>2_lag1,SO<sub>2_lag1,PM2.5_lag1,PM10_lag1,O<sub>3_lag1,CO_lag1,NO<sub>2_lag2,SO<sub>2_lag2,PM2.5_lag2,PM10_lag2,O<sub>3_lag2,CO_lag2,NO<sub>2_lag3,SO<sub>2_lag3,PM2.5_lag3,PM10_lag3,O<sub>3_lag3,CO_lag3,NO<sub>2_lag4,SO<sub>2_lag4,PM2.5_lag4,PM10_lag4,O<sub>3_lag4,CO_lag4,NO<sub>2_lag5,SO<sub>2_lag5,PM2.5_lag5,PM10_lag5,O<sub>3_lag5,CO_lag5
593,2019-10-26,17,1,1,3,150802510,18,1,0,2,-1,-1,3,4,-1,4,5,4,4,3,3,4,3,1,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333
594,2019-10-26,19,1,1,3,120603318,48,2,0,2,6,3,1,1,1,1,3,3,1,4,4,4,4,1,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333
595,2019-10-27,12,1,1,3,40307002,58,2,1,2,2,2,2,3,2,3,2,2,3,3,3,2,2,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
596,2019-10-27,13,1,1,3,120604722,54,2,0,2,8,4,4,4,4,4,2,2,4,4,4,4,2,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
597,2019-10-27,14,1,1,3,90500223,34,2,1,1,5,1,1,1,1,3,1,1,1,4,1,1,1,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
598,2019-10-27,15,1,1,3,70400821,67,2,0,1,2,3,4,3,3,3,2,3,3,5,3,3,4,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
599,2019-10-27,15,1,1,3,120604709,58,2,0,1,2,2,4,4,2,4,4,3,2,4,-1,2,4,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
600,2019-10-27,15,1,1,3,90500224,54,2,0,1,8,2,2,1,1,2,2,2,1,3,-1,1,1,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
601,2019-10-27,15,1,1,3,100502916,49,2,1,2,6,3,3,3,3,1,2,3,3,3,3,4,3,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
602,2019-10-27,15,1,1,3,40302512,42,2,1,2,2,2,3,3,3,4,3,3,3,4,3,3,2,1,27.363333333333333,9.959999999999999,25.59,57.556000000000004,58.49333333333334,0.98,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001
