"INT_DATE","INT_START","SUBSTRATUM","STRATUM","COUNTRY","ID","RESPAGE","RESPSEX","RESPEMP","RESPPOB","RESPMAR","TRUCRTS","TRUPARL","TRUEXEC    ","TRUPRES","TRUHLTH","TRUNGOS","TRUMEDI","TRULOCG","TRURELI","TRUOMB","TRUSTEU","TRUSTUN"
2019-10-12,1960-01-01 13:50:00,7,2,3,656709005,20,2,0,3,1,2,-1,1,1,3,3,-1,3,4,-1,-1,3
2019-10-12,1960-01-01 13:52:00,3,3,3,584301013,78,2,0,2,8,3,3,3,3,3,3,4,2,4,3,3,4
2019-10-12,1960-01-01 13:56:00,4,3,3,453900214,36,2,0,1,2,4,4,3,3,4,3,3,3,4,3,2,3
2019-10-12,1960-01-01 14:00:00,7,2,3,656709006,50,2,1,3,2,3,3,3,3,3,3,3,3,3,3,3,4
2019-10-12,1960-01-01 14:01:00,7,2,3,555400407,63,1,0,1,6,3,2,3,3,3,3,3,3,3,4,3,2
2019-10-12,1960-01-01 14:01:00,2,3,3,403301904,66,2,0,2,2,4,2,2,1,4,2,4,4,5,4,3,4
2019-10-12,1960-01-01 14:04:00,9,2,3,687909810,28,2,1,2,3,3,3,3,3,3,3,3,3,3,4,3,3
2019-10-12,1960-01-01 14:05:00,1,1,3,160804503,56,2,1,1,1,-1,3,4,4,4,3,3,4,5,4,3,3
2019-10-12,1960-01-01 14:08:00,6,2,3,413201712,48,1,0,1,2,1,2,3,1,3,2,3,2,4,2,2,3
2019-10-12,1960-01-01 14:10:00,1,1,3,20205108,20,2,0,2,1,3,3,3,3,1,3,3,3,3,3,3,3
2019-10-12,1960-01-01 14:12:00,1,1,3,10100512,53,1,1,3,4,4,4,5,4,4,3,3,4,5,4,4,4
2019-10-12,1960-01-01 14:15:00,1,1,3,20201422,70,2,0,1,8,3,3,3,1,4,4,3,3,4,3,4,3
2019-10-12,1960-01-01 14:19:00,3,3,3,666704311,81,2,0,2,8,3,3,4,3,4,4,3,4,4,3,4,4
2019-10-12,1960-01-01 14:23:00,3,3,3,584301016,70,1,0,1,4,3,3,-1,4,4,3,4,4,5,4,5,4
2019-10-12,1960-01-01 14:23:00,7,2,3,495909107,28,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1
