"INT_DATE","INT_START","STRATUM","COUNTRY","ID","AGE","RESPSEX","RESEMPL","RESPPOB","RESPMAR","TRUCRTS","TRUPARL","TRUEXEC","TRUPRES"
2017-09-28,1960-01-01 15:16:00,1,3,1608037004,23,2,0,3,1,4,3,3,3
2017-09-28,1960-01-01 15:20:00,1,3,1508025007,36,2,1,1,4,1,1,-1,3
2017-09-28,1960-01-01 15:23:00,1,3,2110065018,52,1,1,3,4,1,1,2,4
2017-09-28,1960-01-01 15:23:00,1,3,1909084005,44,2,0,2,2,3,3,3,3
2017-09-28,1960-01-01 15:29:00,1,3,1608037007,27,2,0,3,1,3,3,3,3
2017-09-28,1960-01-01 15:45:00,1,3,905002013,61,2,0,1,4,-1,2,2,2
2017-09-28,1960-01-01 15:56:00,1,3,1909084006,63,1,0,2,2,2,3,3,3
2017-09-28,1960-01-01 16:07:00,1,3,907035023,55,2,1,1,6,3,3,3,2
2017-09-28,1960-01-01 16:13:00,1,3,1508025024,60,2,1,1,1,1,1,1,1
2017-09-28,1960-01-01 16:24:00,1,3,704003010,73,1,0,3,2,1,1,1,4
2017-09-28,1960-01-01 16:26:00,1,3,2110065013,34,2,1,3,6,1,1,1,1
2017-09-28,1960-01-01 16:28:00,1,3,1608037011,51,1,0,1,1,-1,2,2,2
2017-09-28,1960-01-01 16:31:00,1,3,1909084007,56,2,1,1,6,2,3,2,2
2017-09-28,1960-01-01 16:34:00,1,3,1608037010,54,1,1,1,4,1,1,1,1
2017-09-28,1960-01-01 16:49:00,1,3,1106036012,31,1,1,3,2,4,4,4,4
2017-09-28,1960-01-01 16:51:00,1,3,101017004,43,2,1,2,4,3,4,4,4
2017-09-28,1960-01-01 16:59:00,1,3,1206049024,41,1,1,3,5,3,2,3,3
2017-09-28,1960-01-01 17:00:00,1,3,905002015,22,2,1,1,1,4,4,4,4
2017-09-28,1960-01-01 17:01:00,1,3,907035024,40,2,0,3,2,3,3,3,2
2017-09-28,1960-01-01 17:10:00,1,3,1909084008,74,2,0,2,1,2,1,2,2
2017-09-28,1960-01-01 17:41:00,1,3,2110037020,35,2,0,2,4,2,2,2,2
